epoch,train_loss,train_acc,test_loss,test_acc,precision,recall,f1,micro_f1,macro_f1,epoch_time_s,lr
297,0.253138,0.468140,0.237314,0.512576,,,,0.551643,0.445186,47.3,0.000100
298,0.254547,0.467274,0.238341,0.518647,,,,0.539245,0.431809,47.1,0.000100
299,0.256049,0.463372,0.237028,0.521249,,,,0.563015,0.445477,47.1,0.000100
300,0.253135,0.466407,0.235815,0.529055,,,,0.557495,0.448621,47.4,0.000100
301,0.253671,0.462505,0.240326,0.516912,,,,0.542636,0.439709,47.6,0.000100
302,0.252150,0.467707,0.243513,0.507372,,,,0.551724,0.442218,47.7,0.000100
303,0.252064,0.467057,0.233022,0.523851,,,,0.541692,0.437066,47.4,0.000100
304,0.251105,0.467057,0.236036,0.527320,,,,0.553217,0.452514,47.4,0.000100
305,0.250664,0.477893,0.239173,0.521249,,,,0.548406,0.447146,47.2,0.000100
306,0.251357,0.465106,0.236241,0.522116,,,,0.547962,0.452610,47.4,0.000100
307,0.249896,0.475076,0.234503,0.526453,,,,0.555754,0.471161,47.4,0.000100
308,0.248690,0.479194,0.235530,0.518647,,,,0.557590,0.460114,47.4,0.000100
309,0.250534,0.474642,0.234245,0.529055,,,,0.570928,0.471704,47.3,0.000100
310,0.249710,0.475076,0.231860,0.528187,,,,0.554420,0.456906,47.3,0.000100
311,0.250726,0.473342,0.232307,0.524718,,,,0.543689,0.449402,47.4,0.000100
